ID,Year,Month,Day,Date_,Hour,Minute,Second,Time_,Date,Spacecraft_,Spacecraft,Type_ipshock,Origem,Chave,Repete?,Accept
1765,2008,9,16,9/16/2008,13,49,29,1:49:29 PM,2008-09-16 13:49:29,STEREO-A,STA,FF,IPShock,2008916134929STEREO-A,,0
58000000,2008,9,16,9/16/2008,13,49,29,1:49:29 PM,2008-09-16 13:49:29,STEREO-A,STA,FF,SSC,2008916134929STEREO-A,Repetido,1
59000000,2008,9,17,9/17/2008,8,8,22,8:08:22 AM,2008-09-17 08:08:22,STEREO-A,STA,FR,SSC,20089178822STEREO-A,,0
60000000,2008,9,29,9/29/2008,13,8,4,1:08:04 PM,2008-09-29 13:08:04,STEREO-B,STB,FR,SSC,20089291384STEREO-B,,0
1766,2008,9,29,9/29/2008,13,8,4,1:08:04 PM,2008-09-29 13:08:04,STEREO-B,STB,FR,IPShock,20089291384STEREO-B,Repetido,1
1767,2008,9,30,9/30/2008,22,20,36,10:20:36 PM,2008-09-30 22:20:36,STEREO-B,STB,FR,IPShock,2008930222036STEREO-B,,0
61000000,2008,9,30,9/30/2008,22,20,36,10:20:36 PM,2008-09-30 22:20:36,STEREO-B,STB,FR,SSC,2008930222036STEREO-B,Repetido,1
1770,2008,10,12,10/12/2008,17,12,56,5:12:56 PM,2008-10-12 17:12:56,STEREO-A,STA,FF,IPShock,20081012171256STEREO-A,,0
62000000,2008,10,12,10/12/2008,17,12,56,5:12:56 PM,2008-10-12 17:12:56,STEREO-A,STA,FF,SSC,20081012171256STEREO-A,Repetido,1
1771,2008,10,26,10/26/2008,17,17,20,5:17:20 PM,2008-10-26 17:17:20,STEREO-A,STA,FF,IPShock,20081026171720STEREO-A,,0
63000000,2008,10,26,10/26/2008,17,17,20,5:17:20 PM,2008-10-26 17:17:20,STEREO-A,STA,FF,SSC,20081026171720STEREO-A,Repetido,1
64000000,2008,10,31,10/31/2008,3,24,55,3:24:55 AM,2008-10-31 03:24:55,STEREO-A,STA,FF,SSC,2008103132455STEREO-A,,0
1773,2008,10,31,10/31/2008,3,24,55,3:24:55 AM,2008-10-31 03:24:55,STEREO-A,STA,FF,IPShock,2008103132455STEREO-A,Repetido,1
65000000,2008,11,1,11/1/2008,7,59,17,7:59:17 AM,2008-11-01 07:59:17,STEREO-A,STA,FR,SSC,200811175917STEREO-A,,0
66000000,2008,11,9,11/9/2008,0,38,48,12:38:48 AM,2008-11-09 00:38:48,STEREO-A,STA,FF,SSC,200811903848STEREO-A,,0
1774,2008,11,9,11/9/2008,0,38,48,12:38:48 AM,2008-11-09 00:38:48,STEREO-A,STA,FF,IPShock,200811903848STEREO-A,Repetido,1
67000000,2008,11,21,11/21/2008,21,16,58,9:16:58 PM,2008-11-21 21:16:58,STEREO-B,STB,FF,SSC,20081121211658STEREO-B,,0
1776,2008,11,22,11/22/2008,22,20,28,10:20:28 PM,2008-11-22 22:20:28,STEREO-A,STA,FF,IPShock,20081122222028STEREO-A,,0
1780,2008,11,28,11/28/2008,16,44,26,4:44:26 PM,2008-11-28 16:44:26,STEREO-A,STA,FF,IPShock,20081128164426STEREO-A,,0
68000000,2008,11,28,11/28/2008,16,44,26,4:44:26 PM,2008-11-28 16:44:26,STEREO-A,STA,FF,SSC,20081128164426STEREO-A,Repetido,1
1781,2008,11,30,11/30/2008,18,22,49,6:22:49 PM,2008-11-30 18:22:49,STEREO-B,STB,FF,IPShock,20081130182249STEREO-B,,0
1782,2008,12,6,12/6/2008,5,42,30,5:42:30 AM,2008-12-06 05:42:30,STEREO-A,STA,FF,IPShock,200812654230STEREO-A,,0
69000000,2008,12,6,12/6/2008,5,42,30,5:42:30 AM,2008-12-06 05:42:30,STEREO-A,STA,FF,SSC,200812654230STEREO-A,Repetido,1
70000000,2008,12,7,12/7/2008,4,35,30,4:35:30 AM,2008-12-07 04:35:30,STEREO-B,STB,FF,SSC,200812743530STEREO-B,,0
71000000,2008,12,15,12/15/2008,2,12,22,2:12:22 AM,2008-12-15 02:12:22,STEREO-B,STB,FF,SSC,2008121521222STEREO-B,,0
72000000,2008,12,25,12/25/2008,9,45,8,9:45:08 AM,2008-12-25 09:45:08,STEREO-A,STA,FF,SSC,200812259458STEREO-A,,0
1783,2009,1,2,1/2/2009,20,8,0,8:08:00 PM,2009-01-02 20:08:00,STEREO-A,STA,FF,IPShock,2009122080STEREO-A,,0
1786,2009,1,25,1/25/2009,18,22,52,6:22:52 PM,2009-01-25 18:22:52,STEREO-A,STA,FF,IPShock,2009125182252STEREO-A,,0
73000000,2009,1,25,1/25/2009,18,22,52,6:22:52 PM,2009-01-25 18:22:52,STEREO-A,STA,FF,SSC,2009125182252STEREO-A,Repetido,1
1787,2009,1,31,1/31/2009,8,32,19,8:32:19 AM,2009-01-31 08:32:19,STEREO-A,STA,FF,IPShock,200913183219STEREO-A,,0
74000000,2009,2,11,2/11/2009,10,20,58,10:20:58 AM,2009-02-11 10:20:58,STEREO-B,STB,FR,SSC,2009211102058STEREO-B,,0
1791,2009,2,11,2/11/2009,10,21,0,10:21:00 AM,2009-02-11 10:21:00,STEREO-B,STB,FR,IPShock,200921110210STEREO-B,,0
75000000,2009,2,13,2/13/2009,10,20,58,10:20:58 AM,2009-02-13 10:20:58,STEREO-A,STA,FF,SSC,2009213102058STEREO-A,,0
1796,2009,2,14,2/14/2009,17,56,0,5:56:00 PM,2009-02-14 17:56:00,STEREO-A,STA,FF,IPShock,200921417560STEREO-A,,0
1797,2009,2,18,2/18/2009,1,54,55,1:54:55 AM,2009-02-18 01:54:55,STEREO-A,STA,FR,IPShock,200921815455STEREO-A,,0
76000000,2009,2,18,2/18/2009,1,54,55,1:54:55 AM,2009-02-18 01:54:55,STEREO-A,STA,FR,SSC,200921815455STEREO-A,Repetido,1
1798,2009,2,22,2/22/2009,12,12,14,12:12:14 PM,2009-02-22 12:12:14,STEREO-B,STB,FF,IPShock,2009222121214STEREO-B,,0
77000000,2009,2,22,2/22/2009,12,12,14,12:12:14 PM,2009-02-22 12:12:14,STEREO-B,STB,FF,SSC,2009222121214STEREO-B,Repetido,1
1804,2009,3,9,3/9/2009,20,17,19,8:17:19 PM,2009-03-09 20:17:19,STEREO-A,STA,FF,IPShock,200939201719STEREO-A,,0
78000000,2009,3,9,3/9/2009,20,17,19,8:17:19 PM,2009-03-09 20:17:19,STEREO-A,STA,FF,SSC,200939201719STEREO-A,Repetido,1
1805,2009,3,10,3/10/2009,14,47,34,2:47:34 PM,2009-03-10 14:47:34,STEREO-B,STB,FR,IPShock,2009310144734STEREO-B,,0
79000000,2009,3,10,3/10/2009,14,47,34,2:47:34 PM,2009-03-10 14:47:34,STEREO-B,STB,FR,SSC,2009310144734STEREO-B,Repetido,1
1807,2009,3,14,3/14/2009,9,46,29,9:46:29 AM,2009-03-14 09:46:29,STEREO-B,STB,FF,IPShock,200931494629STEREO-B,,0
80000000,2009,3,14,3/14/2009,9,46,30,9:46:30 AM,2009-03-14 09:46:30,STEREO-B,STB,FF,SSC,200931494630STEREO-B,,0
81000000,2009,3,24,3/24/2009,18,42,17,6:42:17 PM,2009-03-24 18:42:17,STEREO-B,STB,FR,SSC,2009324184217STEREO-B,,0
82000000,2009,4,27,4/27/2009,21,42,22,9:42:22 PM,2009-04-27 21:42:22,STEREO-A,STA,FF,SSC,2009427214222STEREO-A,,0
1811,2009,6,3,6/3/2009,17,7,44,5:07:44 PM,2009-06-03 17:07:44,STEREO-A,STA,FF,IPShock,20096317744STEREO-A,,0
83000000,2009,6,3,6/3/2009,17,7,44,5:07:44 PM,2009-06-03 17:07:44,STEREO-A,STA,FF,SSC,20096317744STEREO-A,Repetido,1
84000000,2009,6,5,6/5/2009,9,29,49,9:29:49 AM,2009-06-05 09:29:49,STEREO-B,STB,FF,SSC,"20096592949,17STEREO-B",,0
85000000,2009,6,19,6/19/2009,0,23,34,12:23:34 AM,2009-06-19 00:23:34,STEREO-B,STB,FF,SSC,200961902334STEREO-B,,0
1817,2009,6,30,6/30/2009,5,14,45,5:14:45 AM,2009-06-30 05:14:45,STEREO-A,STA,FR,IPShock,200963051445STEREO-A,,0
